,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,375114,9,41679
1,Round 2,339530,9,37726
2,Round 3,393587,9,43732
3,Round 4,284030,9,31559
4,Round 5,381880,9,42431
5,Round 6,317832,9,35315
6,Round 7,302578,9,33620
7,Round 8,280105,9,31123
8,Round 9,291379,9,32375
9,Round 10,220057,8,27507
10,Round 11,322362,9,35818
11,Round 12,243316,7,34759
12,Round 13,167266,6,27878
13,Round 14,192441,6,32074
14,Round 15,295018,9,32780
15,Round 16,326995,9,36333
16,Round 17,262516,9,29168
17,Round 18,313343,9,34816
18,Round 19,286798,9,31866
