,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,150388,6,25065
1,Round 2,134761,6,22460
2,Round 3,161645,6,26941
3,Round 4,116578,6,19430
4,Round 5,118178,6,19696
5,Round 6,100157,6,16693
6,Round 7,100599,6,16767
7,Round 8,146408,6,24401
8,Round 9,126676,6,21113
9,Round 10,111887,6,18648
10,Round 11,103894,6,17316
11,Round 12,117653,6,19609
12,Round 13,107198,6,17866
13,Round 14,123911,6,20652
14,Round 15,118095,6,19683
15,Round 16,103240,6,17207
16,Round 17,101604,6,16934
17,Round 18,139904,6,23317
18,Round 19,112793,6,18799
19,Round 20,130336,6,21723
20,Finals,425727,4,106432
