,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,128644,4,32161
1,Round 2,176073,7,25153
2,Round 3,138028,7,19718
3,Round 4,201790,7,28827
4,Round 5,206207,7,29458
5,Round 6,240507,7,34358
6,Round 7,159803,7,22829
7,Round 8,202054,7,28865
8,Round 9,165647,7,23664
9,Round 10,178986,7,25569
10,Round 11,173740,7,24820
11,Round 12,234819,7,33546
12,Round 13,136843,7,19549
13,Round 14,207199,7,29600
14,Round 15,166958,7,23851
15,Round 16,155325,7,22189
16,Round 17,162461,7,23209
17,Round 18,165724,7,23675
18,Round 19,232385,7,33198
19,Round 20,154507,7,22072
20,Round 21,179218,7,25603
21,Round 22,174585,7,24941
22,Round 23,204780,7,29254
23,Round 24,186634,7,26662
24,Finals,481348,7,68764
