,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,3059,Brisbane Bears v Footscray,Carrara,1992.0
2,3876,Brisbane Bears v Fitzroy,Carrara,1992.0
3,4349,Brisbane Bears v Sydney,Carrara,1992.0
4,4603,Brisbane Bears v Adelaide,Carrara,1992.0
5,4902,Brisbane Bears v Melbourne,Carrara,1992.0
6,6396,North Melbourne v Brisbane Bears,M.C.G.,1992.0
7,6442,Brisbane Bears v Essendon,Carrara,1992.0
8,6461,Fitzroy v Brisbane Bears,Princes Park,1992.0
9,6923,Brisbane Bears v West Coast,Carrara,1992.0
10,7329,Sydney v Fitzroy,S.C.G.,1992.0
11,7425,Sydney v Brisbane Bears,S.C.G.,1992.0
12,7466,Sydney v Richmond,S.C.G.,1992.0
13,7573,Brisbane Bears v Hawthorn,Carrara,1992.0
14,7645,Brisbane Bears v Geelong,Carrara,1992.0
15,8243,Fitzroy v Adelaide,Princes Park,1992.0
16,8309,Sydney v Footscray,S.C.G.,1992.0
17,8656,Sydney v Melbourne,S.C.G.,1992.0
18,8819,Fitzroy v West Coast,North Hobart,1992.0
19,8830,Fitzroy v North Melbourne,Princes Park,1992.0
20,9066,Brisbane Bears v Carlton,Carrara,1992.0
