, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carrara,71491,11,6499,,,
1,Football Park,420731,11,38248,,,
2,Kardinia Park,201481,9,22387,,,
3,M.C.G.,1435414,43,33382,307346.0,4.0,76837.0
4,Moorabbin Oval,165188,7,23598,,,
5,North Hobart,19084,2,9542,,,
6,Princes Park,371175,21,17675,,,
7,S.C.G.,109590,11,9963,,,
8,Subiaco,212468,7,30353,40237.0,1.0,40237.0
9,Victoria Park,164554,6,27426,,,
10,W.A.C.A.,92480,4,23120,,,
11,Waverley Park,915271,25,36611,133765.0,2.0,66883.0
12,Western Oval,153990,8,19249,,,
