,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,85843,6,14307
1,Round 2,113270,6,18878
2,Round 3,114920,6,19153
3,Round 4,102499,6,17083
4,Round 5,107500,6,17917
5,Round 6,124354,6,20726
6,Round 7,104000,6,17333
7,Round 8,91591,6,15265
8,Round 9,98000,6,16333
9,Round 10,83048,6,13841
10,Round 11,80500,6,13417
11,Round 12,99000,6,16500
12,Round 13,84334,6,14056
13,Round 14,73500,6,12250
14,Round 15,80936,6,13489
15,Round 16,73391,6,12232
16,Round 17,79000,6,13167
17,Round 18,82316,6,13719
18,Finals,233539,4,58385
