, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,68500,9,7611,,,
1,Brunswick St,111500,9,12389,,,
2,Corio Oval,90249,9,10028,,,
3,Glenferrie Oval,86500,9,9611,,,
4,Junction Oval,176500,9,19611,,,
5,Lake Oval,148270,9,16474,,,
6,M.C.G.,194983,9,21665,233539.0,4.0,58385.0
7,Princes Park,184000,9,20444,,,
8,Punt Rd,189000,9,21000,,,
9,Victoria Park,161000,9,17889,,,
10,Western Oval,118500,9,13167,,,
11,Windy Hill,149000,9,16556,,,
