,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,115783,6,19297
1,Round 2,140529,6,23422
2,Round 3,136247,6,22708
3,Round 4,188197,6,31366
4,Round 5,135198,6,22533
5,Round 6,126093,6,21016
6,Round 7,123104,6,20517
7,Round 8,123745,6,20624
8,Round 9,126697,6,21116
9,Round 10,135134,6,22522
10,Round 11,160473,6,26746
11,Round 12,108120,6,18020
12,Round 13,96115,6,16019
13,Round 14,107518,6,17920
14,Round 15,100785,6,16798
15,Round 16,100540,6,16757
16,Round 17,149436,6,24906
17,Round 18,101092,6,16849
18,Round 19,124236,6,20706
19,Round 20,135415,6,22569
20,Round 21,99401,6,16567
21,Round 22,121907,6,20318
22,Finals,450251,6,75042
