, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,139451,9,15495,,,
1,Junction Oval,124862,9,13874,,,
2,Kardinia Park,160915,10,16092,,,
3,Lake Oval,113788,9,12643,,,
4,M.C.G.,577997,19,30421,261533.0,3.0,87178.0
5,Moorabbin Oval,171314,9,19035,,,
6,Princes Park,382346,19,20123,,,
7,Victoria Park,234940,10,23494,,,
8,Waverley Park,498120,20,24906,188718.0,3.0,62906.0
9,Western Oval,170684,9,18965,,,
10,Windy Hill,181348,9,20150,,,
