, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,314204,11,28564,286492.0,11.0,26045.0,600696.0,22.0,27304.0,150982.0,2.0,75491.0
1,Collingwood,264294,11,24027,335904.0,11.0,30537.0,600198.0,22.0,27282.0,65512.0,1.0,65512.0
2,Essendon,218531,11,19866,302023.0,11.0,27457.0,520554.0,22.0,23662.0,,,
3,Fitzroy,154186,11,14017,167487.0,11.0,15226.0,321673.0,22.0,14622.0,,,
4,Footscray,221378,11,20125,204323.0,11.0,18575.0,425701.0,22.0,19350.0,,,
5,Geelong,184381,11,16762,172943.0,11.0,15722.0,357324.0,22.0,16242.0,,,
6,Hawthorn,175521,11,15956,231593.0,11.0,21054.0,407114.0,22.0,18505.0,162627.0,2.0,81314.0
7,Melbourne,247361,11,22487,189873.0,11.0,17261.0,437234.0,22.0,19874.0,,,
8,North Melbourne,194776,11,17707,218509.0,11.0,19864.0,413285.0,22.0,18786.0,307772.0,4.0,76943.0
9,Richmond,413091,11,37554,248721.0,11.0,22611.0,661812.0,22.0,30082.0,213609.0,3.0,71203.0
10,South Melbourne,146369,11,13306,167423.0,11.0,15220.0,313792.0,22.0,14263.0,,,
11,St Kilda,221673,11,20152,230474.0,11.0,20952.0,452147.0,22.0,20552.0,,,
12,Totals,Home & Away:2755765 (20877),Finals:450251 (75042) ,Overall:3206016 (23232),,,,,,,,,
