, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carrara,124245,10,12425,,,
1,Kardinia Park,202321,10,20232,,,
2,M.C.G.,778326,32,24323,264193.0,3.0,88064.0
3,Moorabbin Oval,164642,9,18294,,,
4,Princes Park,339431,23,14758,,,
5,S.C.G.,135555,11,12323,,,
6,Subiaco,159669,7,22810,,,
7,Victoria Park,148613,7,21230,,,
8,W.A.C.A.,87779,5,17556,,,
9,Waverley Park,670939,22,30497,172006.0,3.0,57335.0
10,Western Oval,127050,9,14117,,,
11,Windy Hill,154109,9,17123,,,
