,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,149176,7,21311
1,Round 2,123102,7,17586
2,Round 3,142301,7,20329
3,Round 4,148524,7,21218
4,Round 5,166631,7,23804
5,Round 6,155118,7,22160
6,Round 7,130344,7,18621
7,Round 8,134056,7,19151
8,Round 9,142720,7,20389
9,Round 10,143297,7,20471
10,Round 11,161710,7,23101
11,Round 12,114830,7,16404
12,Round 13,131274,7,18753
13,Round 14,143481,7,20497
14,Round 15,123752,7,17679
15,Round 16,174640,7,24949
16,Round 17,119445,7,17064
17,Round 18,119597,7,17085
18,Round 19,116357,7,16622
19,Round 20,159946,7,22849
20,Round 21,133722,7,19103
21,Round 22,158656,7,22665
22,Finals,436199,6,72700
