, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,154522,8,19315,,,
1,Junction Oval,137787,8,17223,,,
2,Kardinia Park,189560,9,21062,,,
3,Lake Oval,139444,9,15494,,,
4,M.C.G.,555877,18,30882,285344.0,3.0,95115.0
5,Moorabbin Oval,176787,10,17679,,,
6,Princes Park,447709,19,23564,,,
7,S.C.G.,48535,2,24268,,,
8,Victoria Park,276379,10,27638,,,
9,Waverley Park,577027,20,28851,191992.0,3.0,63997.0
10,Western Oval,154213,9,17135,,,
11,Windy Hill,239105,10,23911,,,
