, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,98000,9,10889,,,
1,Brunswick St,130000,9,14444,,,
2,Corio Oval,108500,9,12056,,,
3,Glenferrie Oval,105000,9,11667,,,
4,Junction Oval,148000,9,16444,,,
5,Lake Oval,110000,9,12222,,,
6,M.C.G.,151100,9,16789,291330.0,4.0,72833.0
7,Princes Park,215500,9,23944,,,
8,Punt Rd,170000,9,18889,,,
9,Victoria Park,175500,9,19500,,,
10,Western Oval,149000,9,16556,,,
11,Windy Hill,127000,9,14111,,,
