,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,105000,6,17500
1,Round 2,101327,6,16888
2,Round 3,103000,6,17167
3,Round 4,100569,6,16762
4,Round 5,108979,6,18163
5,Round 6,99000,6,16500
6,Round 7,105877,6,17646
7,Round 8,127308,6,21218
8,Round 9,84000,6,14000
9,Round 10,90000,6,15000
10,Round 11,75554,6,12592
11,Round 12,93185,6,15531
12,Round 13,79000,6,13167
13,Round 14,78060,6,13010
14,Round 15,76500,6,12750
15,Round 16,90000,6,15000
16,Round 17,91741,6,15290
17,Round 18,78500,6,13083
18,Finals,291330,4,72833
