,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,219511,6,36585
1,Round 2,133189,6,22198
2,Round 3,145213,6,24202
3,Round 4,166074,6,27679
4,Round 5,138954,6,23159
5,Round 6,145282,6,24214
6,Round 7,135711,6,22619
7,Round 8,177007,6,29501
8,Round 9,142277,6,23713
9,Round 10,109121,6,18187
10,Round 11,137106,6,22851
11,Round 12,105410,6,17568
12,Round 13,117629,6,19605
13,Round 14,139339,6,23223
14,Round 15,157468,6,26245
15,Round 16,130738,6,21790
16,Round 17,134435,6,22406
17,Round 18,133179,6,22197
18,Finals,384887,4,96222
