, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,243188,9,27021,220636.0,9.0,24515.0,463824.0,18.0,25768.0,,,
1,Collingwood,270001,9,30000,298909.0,9.0,33212.0,568910.0,18.0,31606.0,197669.0,2.0,98835.0
2,Essendon,214371,9,23819,260585.0,9.0,28954.0,474956.0,18.0,26386.0,187218.0,2.0,93609.0
3,Fitzroy,118971,9,13219,152215.0,9.0,16913.0,271186.0,18.0,15066.0,,,
4,Footscray,150801,9,16756,155594.0,9.0,17288.0,306395.0,18.0,17022.0,,,
5,Geelong,184926,9,20547,291581.0,9.0,32398.0,476507.0,18.0,26473.0,93765.0,1.0,93765.0
6,Hawthorn,132115,9,14679,152335.0,9.0,16926.0,284450.0,18.0,15803.0,,,
7,Melbourne,324918,9,36102,158170.0,9.0,17574.0,483088.0,18.0,26838.0,,,
8,North Melbourne,117259,9,13029,173366.0,9.0,19263.0,290625.0,18.0,16146.0,,,
9,Richmond,381735,9,42415,227787.0,9.0,25310.0,609522.0,18.0,33862.0,,,
10,South Melbourne,189730,9,21081,186762.0,9.0,20751.0,376492.0,18.0,20916.0,,,
11,St Kilda,239628,9,26625,289703.0,9.0,32189.0,529331.0,18.0,29407.0,291122.0,3.0,97041.0
12,Totals,Home & Away:2567643 (23774),Finals:384887 (96222) ,Overall:2952530 (26362),,,,,,,,,
