, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,117259,9,13029,,,
1,Brunswick St,118971,9,13219,,,
2,Glenferrie Oval,132115,9,14679,,,
3,Kardinia Park,184926,9,20547,,,
4,Lake Oval,189730,9,21081,,,
5,M.C.G.,706653,18,39259,384887.0,4.0,96222.0
6,Moorabbin Oval,239628,9,26625,,,
7,Princes Park,243188,9,27021,,,
8,Victoria Park,270001,9,30000,,,
9,Western Oval,150801,9,16756,,,
10,Windy Hill,214371,9,23819,,,
