,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,245531,9,27281
1,Round 2,315842,9,35094
2,Round 3,327783,9,36420
3,Round 4,271667,9,30185
4,Round 5,344796,9,38311
5,Round 6,327529,9,36392
6,Round 7,297854,9,33095
7,Round 8,191687,6,31948
8,Round 9,222401,6,37067
9,Round 10,187669,6,31278
10,Round 11,294956,9,32773
11,Round 12,279163,9,31018
12,Round 13,304016,9,33780
13,Round 14,266749,9,29639
14,Round 15,285971,9,31775
15,Round 16,237232,9,26359
16,Round 17,269744,9,29972
17,Round 18,307041,9,34116
18,Round 19,254434,9,28270
19,Round 20,297353,9,33039
20,Round 21,282405,9,31378
21,Round 22,301741,9,33527
22,Round 23,288446,9,32050
23,Finals,569849,9,63317
