, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide Oval,1016514,22,46205,49886.0,1.0,49886.0
1,Bellerive Oval,21343,2,10672,,,
2,Carrara,177017,11,16092,,,
3,Cazaly's Stadium,9746,1,9746,,,
4,Docklands,1355560,48,28241,,,
5,Gabba,217178,11,19743,,,
6,Kardinia Park,177785,7,25398,,,
7,M.C.G.,2111768,45,46928,393598.0,5.0,78720.0
8,Manuka Oval,24623,3,8208,,,
9,Marrara Oval,9290,1,9290,,,
10,S.C.G.,260461,8,32558,,,
11,Stadium Australia,98080,3,32693,84027.0,2.0,42014.0
12,Subiaco,771414,22,35064,42338.0,1.0,42338.0
13,Sydney Showground,76868,8,9609,,,
14,Traeger Park,5655,1,5655,,,
15,Wellington,13409,1,13409,,,
16,York Park,55299,4,13825,,,
