,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,5655,Melbourne v Port Adelaide,Traeger Park,2014.0
2,6549,Greater Western Sydney v Port Adelaide,Manuka Oval,2014.0
3,7016,Greater Western Sydney v Melbourne,Sydney Showground,2014.0
4,7697,Greater Western Sydney v Geelong,Sydney Showground,2014.0
5,7863,Greater Western Sydney v Western Bulldogs,Manuka Oval,2014.0
6,8331,Greater Western Sydney v Richmond,Sydney Showground,2014.0
7,8383,Greater Western Sydney v Adelaide,Sydney Showground,2014.0
8,8429,Greater Western Sydney v Essendon,Sydney Showground,2014.0
9,9059,Greater Western Sydney v Carlton,Sydney Showground,2014.0
10,9290,Melbourne v Fremantle,Marrara Oval,2014.0
11,9746,Western Bulldogs v Gold Coast,Cazaly's Stadium,2014.0
12,10042,Gold Coast v Port Adelaide,Carrara,2014.0
13,10211,Greater Western Sydney v North Melbourne,Manuka Oval,2014.0
14,10641,North Melbourne v St Kilda,Bellerive Oval,2014.0
15,10702,North Melbourne v Adelaide,Bellerive Oval,2014.0
16,10851,Greater Western Sydney v Collingwood,Sydney Showground,2014.0
17,11504,Gold Coast v Greater Western Sydney,Carrara,2014.0
18,11840,Gold Coast v West Coast,Carrara,2014.0
19,12027,Gold Coast v St Kilda,Carrara,2014.0
20,12430,Hawthorn v Brisbane Lions,York Park,2014.0
