,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,151645,6,25274
1,Round 2,135537,6,22590
2,Round 3,141636,6,23606
3,Round 4,154015,6,25669
4,Round 5,141836,6,23639
5,Round 6,146979,6,24497
6,Round 7,118590,6,19765
7,Round 8,155930,6,25988
8,Round 9,134360,6,22393
9,Round 10,181756,6,30293
10,Round 11,114901,6,19150
11,Round 12,120935,6,20156
12,Round 13,107500,6,17917
13,Round 14,126079,6,21013
14,Round 15,112974,6,18829
15,Round 16,104482,6,17414
16,Round 17,122997,6,20500
17,Round 18,123327,6,20555
18,Finals,321175,4,80294
