, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,134500,9,14944,,,
1,Brunswick St,191700,9,21300,,,
2,Glenferrie Oval,164000,9,18222,,,
3,Junction Oval,203400,9,22600,,,
4,Kardinia Park,143616,9,15957,,,
5,Lake Oval,162584,9,18065,,,
6,M.C.G.,359564,9,39952,321175.0,4.0,80294.0
7,Princes Park,170153,9,18906,,,
8,Punt Rd,191000,9,21222,,,
9,Victoria Park,268062,9,29785,,,
10,Western Oval,211600,9,23511,,,
11,Windy Hill,195300,9,21700,,,
