,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,5134,Brisbane Bears v Footscray,Carrara,1989.0
2,6292,Hawthorn v Brisbane Bears,Waverley Park,1989.0
3,6622,Fitzroy v Brisbane Bears,Waverley Park,1989.0
4,6623,Fitzroy v West Coast,Princes Park,1989.0
5,7437,Sydney v Brisbane Bears,S.C.G.,1989.0
6,7817,Fitzroy v North Melbourne,Princes Park,1989.0
7,7894,Hawthorn v West Coast,Princes Park,1989.0
8,7966,Richmond v Brisbane Bears,M.C.G.,1989.0
9,8010,Sydney v Footscray,S.C.G.,1989.0
10,8611,Sydney v Richmond,S.C.G.,1989.0
11,8634,North Melbourne v Brisbane Bears,M.C.G.,1989.0
12,8673,Footscray v Richmond,Western Oval,1989.0
13,8799,Brisbane Bears v Melbourne,Carrara,1989.0
14,8837,Fitzroy v Footscray,Princes Park,1989.0
15,9093,Brisbane Bears v Hawthorn,Carrara,1989.0
16,9235,North Melbourne v Sydney,M.C.G.,1989.0
17,9467,Footscray v West Coast,Western Oval,1989.0
18,9606,Brisbane Bears v North Melbourne,Carrara,1989.0
19,9694,Brisbane Bears v West Coast,Carrara,1989.0
20,10008,Brisbane Bears v Fitzroy,Carrara,1989.0
