, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carrara,120384,11,10944,,,
1,Kardinia Park,160524,8,20066,,,
2,M.C.G.,813375,29,28047,239739.0,3.0,79913.0
3,Moorabbin Oval,168693,9,18744,,,
4,Princes Park,373212,24,15551,,,
5,S.C.G.,135491,11,12317,,,
6,Subiaco,110826,6,18471,,,
7,Victoria Park,142655,7,20379,,,
8,W.A.C.A.,94777,5,18955,,,
9,Waverley Park,742377,25,29695,196957.0,3.0,65652.0
10,Western Oval,144312,10,14431,,,
11,Windy Hill,138500,9,15389,,,
