,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,173267,7,24752
1,Round 2,142962,7,20423
2,Round 3,160381,7,22912
3,Round 4,173275,7,24754
4,Round 5,140619,7,20088
5,Round 6,197022,7,28146
6,Round 7,135709,7,19387
7,Round 8,156816,7,22402
8,Round 9,169332,7,24190
9,Round 10,175227,7,25032
10,Round 11,175828,7,25118
11,Round 12,135655,7,19379
12,Round 13,97353,7,13908
13,Round 14,120447,7,17207
14,Round 15,134657,7,19237
15,Round 16,137229,7,19604
16,Round 17,120065,7,17152
17,Round 18,119720,7,17103
18,Round 19,111094,7,15871
19,Round 20,122808,7,17544
20,Round 21,106661,7,15237
21,Round 22,138999,7,19857
22,Finals,436696,6,72783
