, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,169819,9,18869,,,
1,Junction Oval,124080,9,13787,,,
2,Kardinia Park,236640,9,26293,,,
3,Lake Oval,155652,9,17295,,,
4,M.C.G.,744716,19,39196,290945.0,3.0,96982.0
5,Moorabbin Oval,154336,8,19292,,,
6,Princes Park,380068,17,22357,,,
7,S.C.G.,65307,4,16327,,,
8,Victoria Park,245786,9,27310,,,
9,Waverley Park,663410,21,31591,199843.0,3.0,66614.0
10,Western Oval,148995,9,16555,,,
11,Windy Hill,191320,9,21258,,,
