, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,144500,9,16056,,,
1,Brunswick St,199141,9,22127,,,
2,Glenferrie Oval,216500,9,24056,,,
3,Junction Oval,262050,9,29117,,,
4,Kardinia Park,176493,9,19610,,,
5,Lake Oval,154225,9,17136,,,
6,M.C.G.,402987,9,44776,368208.0,4.0,92052.0
7,Princes Park,208820,9,23202,,,
8,Punt Rd,184264,9,20474,,,
9,Victoria Park,227124,9,25236,,,
10,Western Oval,230480,9,25609,,,
11,Windy Hill,220500,9,24500,,,
