,0,1,2,3
0,Highest Home & Away Crowds,,,
1,78465,Melbourne v Collingwood,M.C.G.,1961.0
2,52195,Melbourne v Footscray,M.C.G.,1961.0
3,49678,Melbourne v Carlton,M.C.G.,1961.0
4,48245,Melbourne v Geelong,M.C.G.,1961.0
5,42015,Footscray v Geelong,Western Oval,1961.0
6,40572,Melbourne v St Kilda,M.C.G.,1961.0
7,38090,Melbourne v Richmond,M.C.G.,1961.0
8,34640,Melbourne v Hawthorn,M.C.G.,1961.0
9,34600,St Kilda v Essendon,Junction Oval,1961.0
10,34500,Hawthorn v St Kilda,Glenferrie Oval,1961.0
11,34254,Carlton v Footscray,Princes Park,1961.0
12,34029,Footscray v Collingwood,Western Oval,1961.0
13,33161,Carlton v Collingwood,Princes Park,1961.0
14,33100,St Kilda v Melbourne,Junction Oval,1961.0
15,32900,St Kilda v Hawthorn,Junction Oval,1961.0
16,32600,Essendon v South Melbourne,Windy Hill,1961.0
17,32000,Essendon v Melbourne,Windy Hill,1961.0
18,31787,Fitzroy v Melbourne,Brunswick St,1961.0
19,31500,Hawthorn v Collingwood,Glenferrie Oval,1961.0
20,31155,Melbourne v Essendon,M.C.G.,1961.0
