,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,83939,4,20985
1,Round 2,67000,4,16750
2,Round 3,67000,4,16750
3,Round 4,80232,4,20058
4,Round 5,95000,4,23750
5,Round 6,63500,4,15875
6,Round 7,76479,4,19120
7,Round 8,70558,4,17640
8,Round 9,55000,4,13750
9,Round 10,76000,4,19000
10,Round 11,75353,4,18838
11,Round 12,71000,4,17750
12,Round 13,70000,4,17500
13,Round 14,79364,4,19841
14,Round 15,80146,4,20037
15,Round 16,69000,4,17250
16,Round 17,77000,4,19250
17,Round 18,74855,4,18714
18,Finals,213462,4,53366
