, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,150000,8,18750,169558.0,8.0,21195.0,319558.0,16.0,19972.0,,,
1,Collingwood,145000,8,18125,125414.0,8.0,15677.0,270414.0,16.0,16901.0,,,
2,Essendon,161000,8,20125,207744.0,8.0,25968.0,368744.0,16.0,23047.0,102183.0,2.0,51092.0
3,Fitzroy,158765,8,19846,160146.0,8.0,20018.0,318911.0,16.0,19932.0,157845.0,3.0,52615.0
4,Geelong,111000,8,13875,118353.0,8.0,14794.0,229353.0,16.0,14335.0,56240.0,1.0,56240.0
5,Melbourne,127220,8,15903,107000.0,8.0,13375.0,234220.0,16.0,14639.0,,,
6,Richmond,132000,8,16500,130439.0,8.0,16305.0,262439.0,16.0,16402.0,,,
7,South Melbourne,163441,8,20430,149232.0,8.0,18654.0,312673.0,16.0,19542.0,110656.0,2.0,55328.0
8,St Kilda,183000,8,22875,163540.0,8.0,20443.0,346540.0,16.0,21659.0,,,
9,Totals,Home & Away:1331426 (18492),Finals:213462 (53366) ,Overall:1544888 (20327),,,,,,,,,
