, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Football Park,803490,22,36522,,,
1,Gabba,183424,11,16675,,,
2,Kardinia Park,209767,9,23307,,,
3,M.C.G.,2617182,55,47585,499159.0,7.0,71308.0
4,Manuka Oval,11321,1,11321,,,
5,Princes Park,371859,17,21874,,,
6,S.C.G.,347034,11,31549,73574.0,2.0,36787.0
7,Subiaco,476798,16,29800,,,
8,Victoria Park,46481,2,23241,,,
9,W.A.C.A.,153539,6,25590,,,
10,Waverley Park,898269,26,34549,,,
