,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,268409,8,33551
1,Round 2,265543,8,33193
2,Round 3,264833,8,33104
3,Round 4,285649,8,35706
4,Round 5,295240,8,36905
5,Round 6,253179,8,31647
6,Round 7,283374,8,35422
7,Round 8,288182,8,36023
8,Round 9,235452,8,29432
9,Round 10,255322,8,31915
10,Round 11,332211,8,41526
11,Round 12,259091,8,32386
12,Round 13,241730,8,30216
13,Round 14,265255,8,33157
14,Round 15,280958,8,35120
15,Round 16,294974,8,36872
16,Round 17,245701,8,30713
17,Round 18,277889,8,34736
18,Round 19,268029,8,33504
19,Round 20,262308,8,32789
20,Round 21,327861,8,40983
21,Round 22,367974,8,45997
22,Finals,572733,9,63637
