, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Docklands,1817910,49,37100,25195.0,1.0,25195.0
1,Football Park,827768,22,37626,99289.0,2.0,49645.0
2,Gabba,397193,12,33099,,,
3,Kardinia Park,175474,8,21934,,,
4,M.C.G.,1714157,42,40813,230190.0,3.0,76730.0
5,Manuka Oval,36538,3,12179,,,
6,Marrara Oval,13037,1,13037,,,
7,Princes Park,30052,1,30052,,,
8,S.C.G.,258599,9,28733,39079.0,1.0,39079.0
9,Stadium Australia,119567,3,39856,,,
10,Subiaco,830406,22,37746,86311.0,2.0,43156.0
11,York Park,63087,4,15772,,,
