, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Adelaide,465751,11,42341,344808.0,11.0,31346.0,810559.0,22.0,36844.0,142298.0,3.0,47433.0
1,Brisbane Lions,365934,11,33267,412705.0,11.0,37519.0,778639.0,22.0,35393.0,,,
2,Carlton,406732,11,36976,414804.0,11.0,37709.0,821536.0,22.0,37343.0,,,
3,Collingwood,459352,11,41759,544477.0,11.0,49498.0,1003829.0,22.0,45629.0,,,
4,Essendon,508182,11,46198,470920.0,11.0,42811.0,979102.0,22.0,44505.0,,,
5,Fremantle,387466,11,35224,301549.0,11.0,27414.0,689015.0,22.0,31319.0,,,
6,Geelong,305608,11,27783,449859.0,11.0,40896.0,755467.0,22.0,34339.0,104097.0,2.0,52049.0
7,Hawthorn,335951,11,30541,393803.0,11.0,35800.0,729754.0,22.0,33171.0,,,
8,Kangaroos,338748,11,30795,360814.0,11.0,32801.0,699562.0,22.0,31798.0,25195.0,1.0,25195.0
9,Melbourne,438556,11,39869,353750.0,11.0,32159.0,792306.0,22.0,36014.0,65018.0,1.0,65018.0
10,Port Adelaide,362017,11,32911,298857.0,11.0,27169.0,660874.0,22.0,30040.0,75716.0,2.0,37858.0
11,Richmond,393802,11,35800,409083.0,11.0,37189.0,802885.0,22.0,36495.0,,,
12,St Kilda,405415,11,36856,436812.0,11.0,39710.0,842227.0,22.0,38283.0,122112.0,2.0,61056.0
13,Sydney,355808,11,32346,359943.0,11.0,32722.0,715751.0,22.0,32534.0,247553.0,4.0,61888.0
14,West Coast,442940,11,40267,347771.0,11.0,31616.0,790711.0,22.0,35941.0,178139.0,3.0,59380.0
15,Western Bulldogs,311526,11,28321,383833.0,11.0,34894.0,695359.0,22.0,31607.0,,,
16,Totals,Home & Away:6283788 (35703),Finals:480064 (53340) ,Overall:6763852 (36561),,,,,,,,,
