,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,186592,6,31099
1,Round 2,121991,6,20332
2,Round 3,108413,6,18069
3,Round 4,166002,6,27667
4,Round 5,130485,6,21748
5,Round 6,123598,6,20600
6,Round 7,113269,6,18878
7,Round 8,133065,6,22178
8,Round 9,83905,6,13984
9,Round 10,166451,6,27742
10,Round 11,115676,6,19279
11,Round 12,115626,6,19271
12,Round 13,114400,6,19067
13,Round 14,97397,6,16233
14,Round 15,125842,6,20974
15,Round 16,130164,6,21694
16,Round 17,114834,6,19139
17,Round 18,104229,6,17372
18,Round 19,123600,6,20600
19,Round 20,111256,6,18543
20,Finals,436221,4,109055
