, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,224242,10,22424,294508.0,10.0,29451.0,518750.0,20.0,25938.0,227709.0,2.0,113855.0
1,Collingwood,264167,10,26417,288072.0,10.0,28807.0,552239.0,20.0,27612.0,215823.0,2.0,107912.0
2,Essendon,188534,10,18853,235032.0,10.0,23503.0,423566.0,20.0,21178.0,,,
3,Fitzroy,130435,10,13044,145287.0,10.0,14529.0,275722.0,20.0,13786.0,,,
4,Footscray,156810,10,15681,194929.0,10.0,19493.0,351739.0,20.0,17587.0,,,
5,Geelong,214330,10,21433,226246.0,10.0,22625.0,440576.0,20.0,22029.0,101233.0,1.0,101233.0
6,Hawthorn,176929,10,17693,230603.0,10.0,23060.0,407532.0,20.0,20377.0,,,
7,Melbourne,256037,10,25604,154451.0,10.0,15445.0,410488.0,20.0,20524.0,,,
8,North Melbourne,147729,10,14773,161404.0,10.0,16140.0,309133.0,20.0,15457.0,,,
9,Richmond,365941,10,36594,195184.0,10.0,19518.0,561125.0,20.0,28056.0,327677.0,3.0,109226.0
10,South Melbourne,140936,10,14094,148990.0,10.0,14899.0,289926.0,20.0,14496.0,,,
11,St Kilda,220705,10,22071,212089.0,10.0,21209.0,432794.0,20.0,21640.0,,,
12,Totals,Home & Away:2486795 (20723),Finals:436221 (109055) ,Overall:2923016 (23573),,,,,,,,,
