,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,6470,North Melbourne v Melbourne,Arden St,1969.0
2,7682,Fitzroy v South Melbourne,Princes Park,1969.0
3,8529,Footscray v Richmond,Western Oval,1969.0
4,8923,Geelong v Fitzroy,Kardinia Park,1969.0
5,9359,South Melbourne v North Melbourne,Lake Oval,1969.0
6,9367,Fitzroy v Melbourne,Princes Park,1969.0
7,9486,South Melbourne v Geelong,Lake Oval,1969.0
8,9684,Fitzroy v North Melbourne,Princes Park,1969.0
9,9754,South Melbourne v Melbourne,Lake Oval,1969.0
10,10526,Fitzroy v Hawthorn,Princes Park,1969.0
11,10597,North Melbourne v Richmond,Arden St,1969.0
12,11109,St Kilda v North Melbourne,Moorabbin Oval,1969.0
13,11303,South Melbourne v Footscray,Lake Oval,1969.0
14,11462,Footscray v South Melbourne,Western Oval,1969.0
15,11603,Footscray v Fitzroy,Western Oval,1969.0
16,11712,Fitzroy v St Kilda,Princes Park,1969.0
17,11874,St Kilda v Fitzroy,Moorabbin Oval,1969.0
18,12314,South Melbourne v Fitzroy,Lake Oval,1969.0
19,12836,North Melbourne v Geelong,Arden St,1969.0
20,12872,Fitzroy v Essendon,Princes Park,1969.0
