,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,321666,8,40208
1,Round 2,306196,8,38275
2,Round 3,256356,8,32045
3,Round 4,267019,8,33377
4,Round 5,277644,8,34706
5,Round 6,293188,8,36649
6,Round 7,248062,8,31008
7,Round 8,241446,8,30181
8,Round 9,259941,8,32493
9,Round 10,235542,8,29443
10,Round 11,256703,8,32088
11,Round 12,234585,8,29323
12,Round 13,252174,8,31522
13,Round 14,283061,8,35383
14,Round 15,241702,8,30213
15,Round 16,279628,8,34954
16,Round 17,284555,8,35569
17,Round 18,215406,8,26926
18,Round 19,237154,8,29644
19,Round 20,264703,8,33088
20,Round 21,241813,8,30227
21,Round 22,273035,8,34129
22,Finals,472007,9,52445
