, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,243645,11,22150,321533.0,11.0,29230.0,565178.0,22.0,25690.0,49126.0,1.0,49126.0
1,Collingwood,268011,11,24365,361148.0,11.0,32832.0,629159.0,22.0,28598.0,,,
2,Essendon,265729,11,24157,297648.0,11.0,27059.0,563377.0,22.0,25608.0,167105.0,2.0,83553.0
3,Fitzroy,148713,11,13519,196463.0,11.0,17860.0,345176.0,22.0,15690.0,,,
4,Footscray,248207,11,22564,227527.0,11.0,20684.0,475734.0,22.0,21624.0,169725.0,3.0,56575.0
5,Geelong,214092,11,19463,201303.0,11.0,18300.0,415395.0,22.0,18882.0,,,
6,Hawthorn,206511,11,18774,238000.0,11.0,21636.0,444511.0,22.0,20205.0,280718.0,4.0,70180.0
7,Melbourne,267426,11,24311,174418.0,11.0,15856.0,441844.0,22.0,20084.0,,,
8,North Melbourne,268338,11,24394,203443.0,11.0,18495.0,471781.0,22.0,21445.0,105238.0,2.0,52619.0
9,Richmond,314655,11,28605,187647.0,11.0,17059.0,502302.0,22.0,22832.0,,,
10,St Kilda,170381,11,15489,145369.0,11.0,13215.0,315750.0,22.0,14352.0,,,
11,Sydney,111509,11,10137,172718.0,11.0,15702.0,284227.0,22.0,12919.0,,,
12,Totals,Home & Away:2727217 (20661),Finals:385956 (64326) ,Overall:3113173 (22559),,,,,,,,,
