, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,143500,9,15944,,,
1,Brunswick St,163000,9,18111,,,
2,Glenferrie Oval,153200,9,17022,,,
3,Junction Oval,137650,9,15294,,,
4,Kardinia Park,185041,9,20560,,,
5,Lake Oval,177000,9,19667,,,
6,M.C.G.,284440,9,31604,285807.0,4.0,71452.0
7,Princes Park,206659,9,22962,,,
8,Punt Rd,179500,9,19944,,,
9,Victoria Park,240576,9,26731,,,
10,Western Oval,285466,9,31718,,,
11,Windy Hill,212299,9,23589,,,
