,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,145415,6,24236
1,Round 2,142016,6,23669
2,Round 3,149375,6,24896
3,Round 4,135115,6,22519
4,Round 5,135652,6,22609
5,Round 6,134850,6,22475
6,Round 7,133674,6,22279
7,Round 8,144019,6,24003
8,Round 9,171311,6,28552
9,Round 10,120730,6,20122
10,Round 11,129435,6,21573
11,Round 12,116978,6,19496
12,Round 13,101581,6,16930
13,Round 14,125835,6,20973
14,Round 15,103261,6,17210
15,Round 16,144404,6,24067
16,Round 17,115944,6,19324
17,Round 18,118736,6,19789
18,Finals,285807,4,71452
