,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,5000,Hawthorn v Geelong,Glenferrie Oval,1946.0
2,6000,Hawthorn v Fitzroy,Glenferrie Oval,1946.0
3,6000,St Kilda v Geelong,Junction Oval,1946.0
4,7000,North Melbourne v South Melbourne,Arden St,1946.0
5,7000,St Kilda v North Melbourne,Junction Oval,1946.0
6,7000,Fitzroy v St Kilda,Brunswick St,1946.0
7,7500,North Melbourne v Geelong,Arden St,1946.0
8,7500,Geelong v Hawthorn,Kardinia Park,1946.0
9,8000,Hawthorn v Melbourne,Glenferrie Oval,1946.0
10,8000,North Melbourne v Melbourne,Arden St,1946.0
11,8000,St Kilda v Hawthorn,Junction Oval,1946.0
12,9000,St Kilda v Essendon,Junction Oval,1946.0
13,9000,South Melbourne v Geelong,Junction Oval,1946.0
14,9000,Geelong v St Kilda,Kardinia Park,1946.0
15,10000,Hawthorn v Essendon,Glenferrie Oval,1946.0
16,10000,North Melbourne v Richmond,Arden St,1946.0
17,10000,South Melbourne v Hawthorn,Junction Oval,1946.0
18,10000,South Melbourne v St Kilda,Junction Oval,1946.0
19,10000,Footscray v St Kilda,Western Oval,1946.0
20,10000,Geelong v Collingwood,Kardinia Park,1946.0
