,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,144000,6,24000
1,Round 2,103500,6,17250
2,Round 3,117000,6,19500
3,Round 4,111500,6,18583
4,Round 5,97000,6,16167
5,Round 6,107000,6,17833
6,Round 7,105000,6,17500
7,Round 8,130000,6,21667
8,Round 9,134000,6,22333
9,Round 10,114500,6,19083
10,Round 11,91000,6,15167
11,Round 12,103500,6,17250
12,Round 13,89000,6,14833
13,Round 14,104000,6,17333
14,Round 15,105500,6,17583
15,Round 16,106000,6,17667
16,Round 17,98601,6,16434
17,Round 18,96000,6,16000
18,Round 19,96527,6,16088
19,Finals,336234,5,67247
