, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,119500,9,13278,,,
1,Brunswick St,152000,9,16889,,,
2,Glenferrie Oval,115000,10,11500,,,
3,Junction Oval,317000,19,16684,,,
4,Kardinia Park,94000,9,10444,,,
5,M.C.G.,34128,2,17064,336234.0,5.0,67247.0
6,Princes Park,251000,10,25100,,,
7,Punt Rd,381000,17,22412,,,
8,Victoria Park,185000,9,20556,,,
9,Western Oval,203000,10,20300,,,
10,Windy Hill,202000,10,20200,,,
