,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,191570,6,31928
1,Round 2,145971,6,24329
2,Round 3,173556,6,28926
3,Round 4,199172,6,33195
4,Round 5,170793,6,28466
5,Round 6,156263,6,26044
6,Round 7,96640,6,16107
7,Round 8,176068,6,29345
8,Round 9,150099,6,25017
9,Round 10,131313,6,21886
10,Round 11,230970,6,38495
11,Round 12,135735,6,22623
12,Round 13,127592,6,21265
13,Round 14,145282,6,24214
14,Round 15,116028,6,19338
15,Round 16,124370,6,20728
16,Round 17,137657,6,22943
17,Round 18,155802,6,25967
18,Round 19,110556,6,18426
19,Round 20,158129,6,26355
20,Round 21,120281,6,20047
21,Round 22,200176,6,33363
22,Finals,476208,6,79368
