, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,320165,11,29106,334269.0,11.0,30388.0,654434.0,22.0,29747.0,179042.0,2.0,89521.0
1,Collingwood,378795,11,34436,465322.0,11.0,42302.0,844117.0,22.0,38369.0,351532.0,4.0,87883.0
2,Essendon,362789,11,32981,379499.0,11.0,34500.0,742288.0,22.0,33740.0,58598.0,1.0,58598.0
3,Fitzroy,186193,11,16927,250359.0,11.0,22760.0,436552.0,22.0,19843.0,143731.0,2.0,71866.0
4,Footscray,195604,11,17782,175130.0,11.0,15921.0,370734.0,22.0,16852.0,,,
5,Geelong,282840,11,25713,332303.0,11.0,30209.0,615143.0,22.0,27961.0,219513.0,3.0,73171.0
6,Hawthorn,252507,11,22955,266774.0,11.0,24252.0,519281.0,22.0,23604.0,,,
7,Melbourne,258987,11,23544,178158.0,11.0,16196.0,437145.0,22.0,19870.0,,,
8,North Melbourne,214677,11,19516,229348.0,11.0,20850.0,444025.0,22.0,20183.0,,,
9,Richmond,473687,11,43062,305242.0,11.0,27749.0,778929.0,22.0,35406.0,,,
10,South Melbourne,185337,11,16849,204772.0,11.0,18616.0,390109.0,22.0,17732.0,,,
11,St Kilda,242442,11,22040,232847.0,11.0,21168.0,475289.0,22.0,21604.0,,,
12,Totals,Home & Away:3354023 (25409),Finals:476208 (79368) ,Overall:3830231 (27755),,,,,,,,,
