, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,129616,8,16202,,,
1,Gabba,20351,1,20351,,,
2,Junction Oval,148373,9,16486,,,
3,Kardinia Park,246198,9,27355,,,
4,Lake Oval,116734,8,14592,,,
5,M.C.G.,723769,20,36188,281996.0,3.0,93999.0
6,Moorabbin Oval,194329,9,21592,,,
7,Princes Park,381435,18,21191,,,
8,S.C.G.,33315,2,16658,,,
9,Victoria Park,249028,9,27670,,,
10,Waverley Park,772271,22,35103,194212.0,3.0,64737.0
11,Western Oval,148650,9,16517,,,
12,Windy Hill,189954,8,23744,,,
