, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,105500,9,11722,,,
1,Brunswick St,145500,9,16167,,,
2,Glenferrie Oval,151000,9,16778,,,
3,Junction Oval,185832,9,20648,,,
4,Kardinia Park,185583,9,20620,,,
5,Lake Oval,193500,9,21500,,,
6,M.C.G.,300069,8,37509,381088.0,4.0,95272.0
7,Princes Park,247546,9,27505,,,
8,Punt Rd,205500,10,20550,,,
9,Victoria Park,237422,9,26380,,,
10,Western Oval,255002,9,28334,,,
11,Windy Hill,167800,9,18644,,,
