,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,141617,6,23603
1,Round 2,116132,6,19355
2,Round 3,142665,6,23778
3,Round 4,126605,6,21101
4,Round 5,127654,6,21276
5,Round 6,126500,6,21083
6,Round 7,148515,6,24753
7,Round 8,158992,6,26499
8,Round 9,146240,6,24373
9,Round 10,154070,6,25678
10,Round 11,103366,6,17228
11,Round 12,115715,6,19286
12,Round 13,132436,6,22073
13,Round 14,140642,6,23440
14,Round 15,123239,6,20540
15,Round 16,136366,6,22728
16,Round 17,114533,6,19089
17,Round 18,124967,6,20828
18,Finals,381088,4,95272
