, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,192431,9,21381,195330.0,9.0,21703.0,387761.0,18.0,21542.0,,,
1,Collingwood,244872,9,27208,309877.0,9.0,34431.0,554749.0,18.0,30819.0,243967.0,3.0,81322.0
2,Essendon,226200,9,25133,249231.0,9.0,27692.0,475431.0,18.0,26413.0,81209.0,1.0,81209.0
3,Fitzroy,193150,9,21461,196497.0,9.0,21833.0,389647.0,18.0,21647.0,145097.0,2.0,72549.0
4,Footscray,170191,9,18910,183158.0,9.0,20351.0,353349.0,18.0,19631.0,,,
5,Geelong,140881,9,15653,139449.0,9.0,15494.0,280330.0,18.0,15574.0,,,
6,Hawthorn,157500,9,17500,163530.0,9.0,18170.0,321030.0,18.0,17835.0,,,
7,Melbourne,351584,9,39065,182030.0,9.0,20226.0,533614.0,18.0,29645.0,177253.0,2.0,88627.0
8,North Melbourne,125350,9,13928,142428.0,9.0,15825.0,267778.0,18.0,14877.0,,,
9,Richmond,138000,9,15333,145659.0,9.0,16184.0,283659.0,18.0,15759.0,,,
10,South Melbourne,149359,9,16595,169759.0,9.0,18862.0,319118.0,18.0,17729.0,,,
11,St Kilda,202939,9,22549,215509.0,9.0,23945.0,418448.0,18.0,23247.0,,,
12,Totals,Home & Away:2292457 (21226),Finals:323763 (80941) ,Overall:2616220 (23359),,,,,,,,,
