, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,125350,9,13928,,,
1,Brunswick St,193150,9,21461,,,
2,Glenferrie Oval,157500,9,17500,,,
3,Junction Oval,202939,9,22549,,,
4,Kardinia Park,140881,9,15653,,,
5,Lake Oval,149359,9,16595,,,
6,M.C.G.,351584,9,39065,323763.0,4.0,80941.0
7,Princes Park,192431,9,21381,,,
8,Punt Rd,138000,9,15333,,,
9,Victoria Park,244872,9,27208,,,
10,Western Oval,170191,9,18910,,,
11,Windy Hill,226200,9,25133,,,
