,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,6109,South Melbourne v Richmond,Lake Oval,1960.0
2,7000,South Melbourne v North Melbourne,Lake Oval,1960.0
3,7500,Richmond v Fitzroy,Punt Rd,1960.0
4,8000,Richmond v Melbourne,Punt Rd,1960.0
5,8350,South Melbourne v Geelong,Lake Oval,1960.0
6,8500,North Melbourne v Geelong,Arden St,1960.0
7,8500,Richmond v North Melbourne,Punt Rd,1960.0
8,8600,North Melbourne v Hawthorn,Arden St,1960.0
9,9000,North Melbourne v Richmond,Arden St,1960.0
10,9445,Geelong v North Melbourne,Kardinia Park,1960.0
11,9600,North Melbourne v Melbourne,Arden St,1960.0
12,10000,North Melbourne v South Melbourne,Arden St,1960.0
13,11000,South Melbourne v Carlton,Lake Oval,1960.0
14,11066,Carlton v Hawthorn,Princes Park,1960.0
15,12000,Hawthorn v Richmond,Glenferrie Oval,1960.0
16,12013,Footscray v Fitzroy,Western Oval,1960.0
17,12419,Footscray v Richmond,Western Oval,1960.0
18,12500,Hawthorn v Melbourne,Glenferrie Oval,1960.0
19,12500,Richmond v South Melbourne,Punt Rd,1960.0
20,12795,Geelong v St Kilda,Kardinia Park,1960.0
