,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,131000,6,21833
1,Round 2,124374,6,20729
2,Round 3,117937,6,19656
3,Round 4,121000,6,20167
4,Round 5,130000,6,21667
5,Round 6,117774,6,19629
6,Round 7,155061,6,25844
7,Round 8,113000,6,18833
8,Round 9,121525,6,20254
9,Round 10,129157,6,21526
10,Round 11,112500,6,18750
11,Round 12,89867,6,14978
12,Round 13,115500,6,19250
13,Round 14,92500,6,15417
14,Round 15,101019,6,16837
15,Round 16,101241,6,16874
16,Round 17,108000,6,18000
17,Round 18,100000,6,16667
18,Finals,276129,4,69032
