, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,126000,9,14000,,,
1,Brunswick St,140500,9,15611,,,
2,Glenferrie Oval,98000,9,10889,,,
3,Junction Oval,146500,9,16278,,,
4,Kardinia Park,202500,9,22500,,,
5,Lake Oval,147500,9,16389,,,
6,M.C.G.,218955,9,24328,276129.0,4.0,69032.0
7,Princes Park,208000,9,23111,,,
8,Punt Rd,176000,9,19556,,,
9,Victoria Park,203500,9,22611,,,
10,Western Oval,191000,9,21222,,,
11,Windy Hill,223000,9,24778,,,
