,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,109742,6,18290
1,Round 2,107000,6,17833
2,Round 3,108495,6,18083
3,Round 4,110000,6,18333
4,Round 5,118128,6,19688
5,Round 6,108000,6,18000
6,Round 7,110574,6,18429
7,Round 8,103000,6,17167
8,Round 9,86514,6,14419
9,Round 10,94000,6,15667
10,Round 11,91651,6,15275
11,Round 12,96000,6,16000
12,Round 13,86786,6,14464
13,Round 14,83000,6,13833
14,Round 15,91475,6,15246
15,Round 16,96550,6,16092
16,Round 17,86184,6,14364
17,Round 18,75000,6,12500
18,Finals,204742,4,51186
