,0,1,2,3
0,Lowest Home & Away Crowds,,,
1,4500,Hawthorn v North Melbourne,Glenferrie Oval,1926.0
2,5000,Hawthorn v Melbourne,Glenferrie Oval,1926.0
3,5000,Hawthorn v Richmond,Glenferrie Oval,1926.0
4,5000,Hawthorn v St Kilda,Glenferrie Oval,1926.0
5,5000,North Melbourne v St Kilda,Arden St,1926.0
6,5000,North Melbourne v Collingwood,Arden St,1926.0
7,5000,Richmond v Footscray,Punt Rd,1926.0
8,5000,Footscray v Hawthorn,Western Oval,1926.0
9,6000,North Melbourne v Melbourne,Arden St,1926.0
10,6000,St Kilda v North Melbourne,Junction Oval,1926.0
11,6000,Fitzroy v North Melbourne,Brunswick St,1926.0
12,6684,Melbourne v Footscray,M.C.G.,1926.0
13,7000,North Melbourne v Hawthorn,Arden St,1926.0
14,7000,Collingwood v Hawthorn,Victoria Park,1926.0
15,7000,Fitzroy v St Kilda,Brunswick St,1926.0
16,7514,Melbourne v Hawthorn,M.C.G.,1926.0
17,8000,Essendon v Footscray,Windy Hill,1926.0
18,8000,Fitzroy v Hawthorn,Brunswick St,1926.0
19,9000,Hawthorn v Geelong,Glenferrie Oval,1926.0
20,9495,Melbourne v North Melbourne,M.C.G.,1926.0
