, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,200000,9,22222,212786.0,9.0,23643.0,412786.0,18.0,22933.0,,,
1,Collingwood,162550,9,18061,200975.0,9.0,22331.0,363525.0,18.0,20196.0,103918.0,2.0,51959.0
2,Essendon,176000,9,19556,174600.0,9.0,19400.0,350600.0,18.0,19478.0,100824.0,2.0,50412.0
3,Fitzroy,121000,9,13444,145651.0,9.0,16183.0,266651.0,18.0,14814.0,,,
4,Footscray,129000,9,14333,100184.0,9.0,11132.0,229184.0,18.0,12732.0,,,
5,Geelong,145600,9,16178,169550.0,9.0,18839.0,315150.0,18.0,17508.0,50662.0,1.0,50662.0
6,Hawthorn,77500,9,8611,80514.0,9.0,8946.0,158014.0,18.0,8779.0,,,
7,Melbourne,163949,9,18217,133500.0,9.0,14833.0,297449.0,18.0,16525.0,154080.0,3.0,51360.0
8,North Melbourne,81000,9,9000,97995.0,9.0,10888.0,178995.0,18.0,9944.0,,,
9,Richmond,183000,9,20333,154128.0,9.0,17125.0,337128.0,18.0,18729.0,,,
10,South Melbourne,186000,9,20667,165974.0,9.0,18442.0,351974.0,18.0,19554.0,,,
11,St Kilda,136500,9,15167,126242.0,9.0,14027.0,262742.0,18.0,14597.0,,,
12,Totals,Home & Away:1762099 (16316),Finals:204742 (51186) ,Overall:1966841 (17561),,,,,,,,,
