, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,81000,9,9000,,,
1,Brunswick St,121000,9,13444,,,
2,Corio Oval,145600,9,16178,,,
3,Glenferrie Oval,77500,9,8611,,,
4,Junction Oval,136500,9,15167,,,
5,Lake Oval,186000,9,20667,,,
6,M.C.G.,163949,9,18217,204742.0,4.0,51186.0
7,Princes Park,200000,9,22222,,,
8,Punt Rd,183000,9,20333,,,
9,Victoria Park,162550,9,18061,,,
10,Western Oval,129000,9,14333,,,
11,Windy Hill,176000,9,19556,,,
