, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,133500,9,14833,171907.0,9.0,19101.0,305407.0,18.0,16967.0,124541.0,2.0,62271.0
1,Collingwood,115000,9,12778,131544.0,9.0,14616.0,246544.0,18.0,13697.0,,,
2,Essendon,112000,9,12444,135559.0,9.0,15062.0,247559.0,18.0,13753.0,204161.0,3.0,68054.0
3,Fitzroy,91000,9,10111,86740.0,9.0,9638.0,177740.0,18.0,9874.0,,,
4,Footscray,121500,9,13500,117232.0,9.0,13026.0,238732.0,18.0,13263.0,,,
5,Geelong,55300,9,6144,61669.0,9.0,6852.0,116969.0,18.0,6498.0,,,
6,Hawthorn,58500,9,6500,56500.0,9.0,6278.0,115000.0,18.0,6389.0,,,
7,Melbourne,166108,9,18456,101800.0,9.0,11311.0,267908.0,18.0,14884.0,139122.0,2.0,69561.0
8,North Melbourne,69500,9,7722,81500.0,9.0,9056.0,151000.0,18.0,8389.0,,,
9,Richmond,133500,9,14833,135265.0,9.0,15029.0,268765.0,18.0,14931.0,59368.0,1.0,59368.0
10,South Melbourne,93500,9,10389,105610.0,9.0,11734.0,199110.0,18.0,11062.0,,,
11,St Kilda,109000,9,12111,73082.0,9.0,8120.0,182082.0,18.0,10116.0,,,
12,Totals,Home & Away:1258408 (11652),Finals:263596 (65899) ,Overall:1522004 (13589),,,,,,,,,
