,Crowds by Round,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0
,Round,Total,Games,Ave.
0,Round 1,86740,6,14457
1,Round 2,87500,6,14583
2,Round 3,77800,6,12967
3,Round 4,79582,6,13264
4,Round 5,71000,6,11833
5,Round 6,71500,6,11917
6,Round 7,86407,6,14401
7,Round 8,28000,6,4667
8,Round 9,74000,6,12333
9,Round 10,56059,6,9343
10,Round 11,69265,6,11544
11,Round 12,56500,6,9417
12,Round 13,78110,6,13018
13,Round 14,63169,6,10528
14,Round 15,71500,6,11917
15,Round 16,68544,6,11424
16,Round 17,68732,6,11455
17,Round 18,64000,6,10667
18,Finals,263596,4,65899
