, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,69500,9,7722,,,
1,Brunswick St,91000,9,10111,,,
2,Glenferrie Oval,58500,9,6500,,,
3,Junction Oval,109000,9,12111,,,
4,Kardinia Park,55300,9,6144,,,
5,Lake Oval,93500,9,10389,,,
6,M.C.G.,166108,9,18456,263596.0,4.0,65899.0
7,Princes Park,133500,9,14833,,,
8,Punt Rd,133500,9,14833,,,
9,Victoria Park,115000,9,12778,,,
10,Western Oval,121500,9,13500,,,
11,Windy Hill,112000,9,12444,,,
