, ,Home & Away,Finals,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0
,Venue,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Arden St,97500,10,9750,,,
1,Brunswick St,168000,10,16800,,,
2,Glenferrie Oval,99500,9,11056,,,
3,Junction Oval,99500,10,9950,,,
4,Kardinia Park,156600,10,15660,,,
5,Lake Oval,187000,9,20778,,,
6,M.C.G.,222954,9,24773,299486.0,4.0,74872.0
7,Princes Park,219000,9,24333,,,
8,Punt Rd,222500,10,22250,,,
9,Victoria Park,245000,10,24500,,,
10,Western Oval,157000,9,17444,,,
11,Windy Hill,173500,9,19278,,,
