, ,Home,Away,H&A Totals,Finals,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
,Team,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.,Attendance,GM,Ave.
0,Carlton,219000,9,24333,280806.0,10.0,28081.0,499806.0,19.0,26306.0,161268.0,2.0,80634.0
1,Collingwood,245000,10,24500,195792.0,9.0,21755.0,440792.0,19.0,23200.0,,,
2,Essendon,173500,9,19278,210500.0,10.0,21050.0,384000.0,19.0,20211.0,216916.0,3.0,72305.0
3,Fitzroy,168000,10,16800,168807.0,9.0,18756.0,336807.0,19.0,17727.0,138218.0,2.0,69109.0
4,Footscray,157000,9,17444,205607.0,10.0,20561.0,362607.0,19.0,19085.0,,,
5,Geelong,156600,10,15660,105792.0,9.0,11755.0,262392.0,19.0,13810.0,,,
6,Hawthorn,99500,9,11056,114634.0,10.0,11463.0,214134.0,19.0,11270.0,,,
7,Melbourne,222954,9,24773,166000.0,10.0,16600.0,388954.0,19.0,20471.0,,,
8,North Melbourne,97500,10,9750,133000.0,9.0,14778.0,230500.0,19.0,12132.0,,,
9,Richmond,222500,10,22250,190074.0,9.0,21119.0,412574.0,19.0,21714.0,82570.0,1.0,82570.0
10,South Melbourne,187000,9,20778,181496.0,10.0,18150.0,368496.0,19.0,19395.0,,,
11,St Kilda,99500,10,9950,95546.0,9.0,10616.0,195046.0,19.0,10266.0,,,
12,Totals,Home & Away:2048054 (17965),Finals:299486 (74872) ,Overall:2347540 (19894),,,,,,,,,
